詞	詞頻	注音	分類	作品名稱
三葉睦實	11	ㄙㄢ ㄧㄝˋ ㄇㄨˋ ㄕˊ	動漫	妄想學生會
三鷹瞬	14	ㄙㄢ ㄧㄥ ㄕㄨㄣˋ	動漫	相聚一刻
上之山立夏	15	ㄕㄤˋ ㄓ ㄕㄢ ㄌㄧˋ ㄒㄧㄚˋ	動漫	Given被贈與的未來
上杉風太郎	21	ㄕㄤˋ ㄕㄢ ㄈㄥ ㄊㄞˋ ㄌㄤˊ	動漫	五等分的新娘
上條當麻	21	ㄕㄤˋ ㄊㄧㄠˊ ㄉㄤ ㄇㄚˊ	動漫	魔法禁書目錄
下剋上	21	ㄒㄧㄚˋ ㄎㄜˋ ㄕㄤˋ	動漫	小書痴的下剋上
不二周助	16	ㄅㄨˊ ㄦˋ ㄓㄡ ㄓㄨˋ	動漫	網球王子
不動明	18	ㄅㄨˊ ㄉㄨㄥˋ ㄇㄧㄥˊ	動漫	DEVILMAN crybaby
不可思議	13	ㄅㄨˋ ㄎㄜˇ ㄙ ㄧˋ	動漫	地縛少年花子君
不存在	15	ㄅㄨˋ ㄘㄨㄣˊ ㄗㄞˋ	動漫	86－不存在的戰區－
不存在的人	12	ㄅㄨˋ ㄘㄨㄣˊ ㄗㄞˋ ㄉㄜ˙ ㄖㄣˊ	動漫	Another
不放過我	19	ㄅㄨˊ ㄈㄤˋ ㄍㄨㄛˋ ㄨㄛˇ	動漫	久保同學不放過我
不時	21	ㄅㄨˋ ㄕˊ	動漫	不時輕聲地以俄語遮羞的鄰座艾莉同學
不會	23	ㄅㄨˋ ㄏㄨㄟˋ	動漫	青春豬頭少年不會夢到兔女郎學姊
不死	16	ㄅㄨˋ ㄙˇ	動漫	黃金神威
不死不運	19	ㄅㄨˋ ㄙˇ ㄅㄨˋ ㄩㄣˋ	動漫	不死不運
不死少女	20	ㄅㄨˋ ㄙˇ ㄕㄠˋ ㄋㄩˇ	動漫	不死少女的謀殺鬧劇
不死酒	11	ㄅㄨˋ ㄙˇ ㄐㄧㄡˇ	動漫	BACCANO!大騷動!
不能逃避	15	ㄅㄨˋ ㄋㄥˊ ㄊㄠˊ ㄅㄧˋ	動漫	新世紀福音戰士
不要	21	ㄅㄨˊ ㄧㄠˋ	動漫	不要欺負我，長瀞同學
不要回頭	16	ㄅㄨˊ ㄧㄠˋ ㄏㄨㄟˊ ㄊㄡˊ	動漫	神隱少女
世界	29	ㄕˋ ㄐㄧㄝˋ	動漫	為美好的世界獻上祝福
世界頂尖	16	ㄕˋ ㄐㄧㄝˋ ㄉㄧㄥˇ ㄐㄧㄢ	動漫	世界頂尖的暗殺者轉生為異世界貴族
丘比	12	ㄑㄧㄡ ㄅㄧˇ	動漫	魔法少女小圓
丘魯克	13	ㄑㄧㄡ ㄌㄨˇ ㄎㄜˋ	動漫	零之使魔
中二病	22	ㄓㄨㄥ ㄦˋ ㄅㄧㄥˋ	動漫	中二病也想談戀愛
中井	14	ㄓㄨㄥ ㄐㄧㄥˇ	動漫	擅長捉弄人的高木同學
中務椿	11	ㄓㄨㄥ ㄨˋ ㄔㄨㄣ	動漫	噬魂者
中原中也	13	ㄓㄨㄥ ㄩㄢˊ ㄓㄨㄥ ㄧㄝˇ	動漫	文豪Stray Dogs
中原瑞希	17	ㄓㄨㄥ ㄩㄢˊ ㄖㄨㄟˋ ㄒㄧ	動漫	莉可麗絲
中山春樹	14	ㄓㄨㄥ ㄕㄢ ㄔㄨㄣ ㄕㄨˋ	動漫	Given被贈與的未來
中島敦	22	ㄓㄨㄥ ㄉㄠˇ ㄉㄨㄣ	動漫	文豪Stray Dogs
中川圭一	21	ㄓㄨㄥ ㄔㄨㄢ ㄍㄨㄟ ㄧ	動漫	烏龍派出所
中華一番	22	ㄓㄨㄥ ㄏㄨㄚˊ ㄧ ㄈㄢ	動漫	中華一番
中野一花	18	ㄓㄨㄥ ㄧㄝˇ ㄧ ㄏㄨㄚ	動漫	五等分的新娘
中野三玖	14	ㄓㄨㄥ ㄧㄝˇ ㄙㄢ ㄐㄧㄡˇ	動漫	五等分的新娘
中野二乃	16	ㄓㄨㄥ ㄧㄝˇ ㄦˋ ㄋㄞˇ	動漫	五等分的新娘
中野五月	11	ㄓㄨㄥ ㄧㄝˇ ㄨˇ ㄩㄝˋ	動漫	五等分的新娘
中野四葉	12	ㄓㄨㄥ ㄧㄝˇ ㄙˋ ㄧㄝˋ	動漫	五等分的新娘
中野梓	13	ㄓㄨㄥ ㄧㄝˇ ㄗˇ	動漫	K-ON!輕音部
丹特麗安	20	ㄉㄢ ㄊㄜˋ ㄌㄧˋ ㄢ	動漫	丹特麗安的書架
丹生谷森夏	15	ㄉㄢ ㄕㄥ ㄍㄨˇ ㄙㄣ ㄒㄧㄚˋ	動漫	中二病也想談戀愛
乃木英樹	14	ㄋㄞˇ ㄇㄨˋ ㄧㄥ ㄕㄨˋ	動漫	拳願阿修羅
久世政近	19	ㄐㄧㄡˇ ㄕˋ ㄓㄥˋ ㄐㄧㄣˋ	動漫	不時輕聲地以俄語遮羞的鄰座艾莉同學
久保	21	ㄐㄧㄡˇ ㄅㄠˇ	動漫	久保同學不放過我
久保明菜	13	ㄐㄧㄡˇ ㄅㄠˇ ㄇㄧㄥˊ ㄘㄞˋ	動漫	久保同學不放過我
久保渚咲	15	ㄐㄧㄡˇ ㄅㄠˇ ㄓㄨˇ ㄒㄧㄠˋ	動漫	久保同學不放過我
久城一彌	19	ㄐㄧㄡˇ ㄔㄥˊ ㄧ ㄇㄧˊ	動漫	GOSICK
久堂清霞	16	ㄐㄧㄡˇ ㄊㄤˊ ㄑㄧㄥ ㄒㄧㄚˊ	動漫	我的幸福婚約
久川鐵道	11	ㄐㄧㄡˇ ㄔㄨㄢ ㄊㄧㄝˇ ㄉㄠˋ	動漫	未聞花名
久武忍	16	ㄐㄧㄡˇ ㄨˇ ㄖㄣˇ	動漫	龍與雀斑公主
久留米誠	11	ㄐㄧㄡˇ ㄌㄧㄡˊ ㄇㄧˇ ㄔㄥˊ	動漫	躍動青春
之旅	22	ㄓ ㄌㄩˇ	動漫	月光下的異世界之旅
之時	23	ㄓ ㄕˊ	動漫	寒蟬鳴泣之時
之身	13	ㄓ ㄕㄣ	動漫	黃金神威
乙事主	14	ㄧˇ ㄕˋ ㄓㄨˇ	動漫	魔法公主
乙木守仁	18	ㄧˇ ㄇㄨˋ ㄕㄡˇ ㄖㄣˊ	動漫	WITCH WATCH魔女守護者
乙骨憂太	12	ㄧˇ ㄍㄨˇ ㄧㄡ ㄊㄞˋ	動漫	咒術迴戰
九條可憐	10	ㄐㄧㄡˇ ㄊㄧㄠˊ ㄎㄜˇ ㄌㄧㄢˊ	動漫	黃金拼圖
九能帶刀	14	ㄐㄧㄡˇ ㄋㄥˊ ㄉㄞˋ ㄉㄠ	動漫	亂馬1/2
九頭龍八一	17	ㄐㄧㄡˇ ㄊㄡˊ ㄌㄨㄥˊ ㄅㄚ ㄧ	動漫	龍王的工作！
也要	13	ㄧㄝˇ ㄧㄠˋ	動漫	NEW GAME!
乾心壽	15	ㄍㄢ ㄒㄧㄣ ㄕㄡˋ	動漫	戀上換裝娃娃
乾紗壽葉	17	ㄍㄢ ㄕㄚ ㄕㄡˋ ㄧㄝˋ	動漫	戀上換裝娃娃
亂馬1/2	25	ㄌㄨㄢˋ ㄇㄚˇ 1 / 2	動漫	亂馬1/2
事件簿	25	ㄕˋ ㄐㄧㄢˋ ㄅㄨˋ	動漫	金田一少年之事件簿
二世	22	ㄦˋ ㄕˋ	動漫	異世界藥局
二十二歲	13	ㄦˋ ㄕˊ ㄦˋ ㄙㄨㄟˋ	動漫	麻辣教師GTO
二海堂晴信	12	ㄦˋ ㄏㄞˇ ㄊㄤˊ ㄑㄧㄥˊ ㄒㄧㄣˋ	動漫	3月的獅子
二藤宏嵩	17	ㄦˋ ㄊㄥˊ ㄏㄨㄥˊ ㄙㄨㄥ	動漫	宅男腐女戀愛真難
二藤尚哉	12	ㄦˋ ㄊㄥˊ ㄕㄤˋ ㄗㄞ	動漫	宅男腐女戀愛真難
二階堂咲	17	ㄦˋ ㄐㄧㄝ ㄊㄤˊ ㄒㄧㄠˋ	動漫	佐賀偶像是傳奇
二階堂大和	13	ㄦˋ ㄐㄧㄝ ㄊㄤˊ ㄉㄚˋ ㄏㄜˊ	動漫	IDOLiSH7
五代裕作	15	ㄨˇ ㄉㄞˋ ㄩˋ ㄗㄨㄛˋ	動漫	相聚一刻
五十嵐雙葉	17	ㄨˇ ㄕˊ ㄌㄢˊ ㄕㄨㄤ ㄧㄝˋ	動漫	前輩有夠煩
五月	14	ㄨˇ ㄩㄝˋ	動漫	中二病也想談戀愛
五條悟	17	ㄨˇ ㄊㄧㄠˊ ㄨˋ	動漫	咒術迴戰
五條新菜	22	ㄨˇ ㄊㄧㄠˊ ㄒㄧㄣ ㄘㄞˋ	動漫	戀上換裝娃娃
五河士道	22	ㄨˇ ㄏㄜˊ ㄕˋ ㄉㄠˋ	動漫	約會大作戰
五河琴里	15	ㄨˇ ㄏㄜˊ ㄑㄧㄣˊ ㄌㄧˇ	動漫	約會大作戰
五等分	24	ㄨˇ ㄉㄥˇ ㄈㄣ	動漫	五等分的新娘
五郎	18	ㄨˇ ㄌㄤˊ	動漫	DARLING in the FRANXX
井上織姬	18	ㄐㄧㄥˇ ㄕㄤˋ ㄓ ㄐㄧ	動漫	BLEACH死神
井之上瀧奈	19	ㄐㄧㄥˇ ㄓ ㄕㄤˋ ㄌㄨㄥˊ ㄋㄞˋ	動漫	莉可麗絲
井之原真人	12	ㄐㄧㄥˇ ㄓ ㄩㄢˊ ㄓㄣ ㄖㄣˊ	動漫	Little Busters!
亞也子	11	ㄧㄚˇ ㄧㄝˇ ㄗ˙	動漫	擅長逃跑的殿下
亞伯特	17	ㄧㄚˇ ㄅㄛˊ ㄊㄜˋ	動漫	憂國的莫里亞蒂
亞修	12	ㄧㄚˇ ㄒㄧㄡ	動漫	ALDNOAH.ZERO
亞修林克斯	21	ㄧㄚˇ ㄒㄧㄡ ㄌㄧㄣˊ ㄎㄜˋ ㄙ	動漫	BANANA FISH
亞可卡嘉莉	19	ㄧㄚˇ ㄎㄜˇ ㄎㄚˇ ㄐㄧㄚ ㄌㄧˋ	動漫	小魔女學園
亞左弔兵衛	14	ㄧㄚˇ ㄗㄨㄛˇ ㄉㄧㄠˋ ㄅㄧㄥ ㄨㄟˋ	動漫	地獄樂
亞拉斯特爾	16	ㄧㄚˇ ㄌㄚ ㄙ ㄊㄜˋ ㄦˇ	動漫	灼眼的夏娜
亞斯塔	21	ㄧㄚˇ ㄙ ㄊㄚˇ	動漫	黑色五葉草
亞森羅蘋	11	ㄧㄚˇ ㄙㄣ ㄌㄨㄛˊ ㄆㄧㄥˊ	動漫	不死少女的謀殺鬧劇
亞爾加德	11	ㄧㄚˇ ㄦˇ ㄐㄧㄚ ㄉㄜˊ	動漫	轉生王女與天才千金的魔法革命
亞瑟波義耳	17	ㄧㄚˇ ㄙㄜˋ ㄅㄛ ㄧˋ ㄦˇ	動漫	炎炎消防隊
亞當	46	ㄧㄚˇ ㄉㄤ	動漫	終末的女武神
亞白米娜	18	ㄧㄚˇ ㄅㄞˊ ㄇㄧˇ ㄋㄚˋ	動漫	怪獸8號
亞童木	17	ㄧㄚˇ ㄊㄨㄥˊ ㄇㄨˋ	動漫	PLUTO冥王
亞細亞實	14	ㄧㄚˇ ㄒㄧˋ ㄧㄚˇ ㄕˊ	動漫	宇崎學妹想要玩！
亞絲娜	21	ㄧㄚˇ ㄙ ㄋㄚˋ	動漫	刀劍神域
亞連沃克	18	ㄧㄚˇ ㄌㄧㄢˊ ㄨㄛˋ ㄎㄜˋ	動漫	驅魔少年
亞魯雷特	19	ㄧㄚˇ ㄌㄨˇ ㄌㄟˊ ㄊㄜˋ	動漫	進擊的巨人
亡靈	18	ㄨㄤˊ ㄌㄧㄥˊ	動漫	嘆氣的亡靈想隱退
交響情人夢	6	ㄐㄧㄠ ㄒㄧㄤˇ ㄑㄧㄥˊ ㄖㄣˊ ㄇㄥˋ	動漫	交響情人夢
交響詩篇	18	ㄐㄧㄠ ㄒㄧㄤˇ ㄕ ㄆㄧㄢ	動漫	交響詩篇
人偶	16	ㄖㄣˊ ㄡˇ	動漫	紫羅蘭永恆花園
人生	15	ㄖㄣˊ ㄕㄥ	動漫	蒼鷺與少年
人生清單	13	ㄖㄣˊ ㄕㄥ ㄑㄧㄥ ㄉㄢ	動漫	殭屍100～在成為殭屍前要做的100件事～
人衣一體	13	ㄖㄣˊ ㄧ ㄧ ㄊㄧˇ	動漫	KILL la KILL
什麼	23	ㄕㄜˊ ㄇㄛ˙	動漫	在地下城尋求邂逅是否搞錯了什麼
仁坂悠介	11	ㄖㄣˊ ㄅㄢˇ ㄧㄡ ㄐㄧㄝˋ	動漫	戀愛與謊言
今井綠	11	ㄐㄧㄣ ㄐㄧㄥˇ ㄌㄩˋ	動漫	白箱
今天	16	ㄐㄧㄣ ㄊㄧㄢ	動漫	NEW GAME!
今村耕平	17	ㄐㄧㄣ ㄘㄨㄣ ㄍㄥ ㄆㄧㄥˊ	動漫	碧藍之海
今泉俊輔	15	ㄐㄧㄣ ㄑㄩㄢˊ ㄐㄩㄣˋ ㄈㄨˇ	動漫	飆速宅男
仙石翔	12	ㄒㄧㄢ ㄕˊ ㄒㄧㄤˊ	動漫	堀與宮村
代替	15	ㄉㄞˋ ㄊㄧˋ	動漫	美少女戰士
令咒	14	ㄌㄧㄥˋ ㄓㄡˋ	動漫	Fate/Zero
以爺爺	14	ㄧˇ ㄧㄝˊ ㄧㄝˊ	動漫	金田一少年之事件簿
仲村由理	18	ㄓㄨㄥˋ ㄘㄨㄣ ㄧㄡˊ ㄌㄧˇ	動漫	Angel Beats!
任務完成	12	ㄖㄣˋ ㄨˋ ㄨㄢˊ ㄔㄥˊ	動漫	新機動戰記鋼彈W
伊井野御子	12	ㄧ ㄐㄧㄥˇ ㄧㄝˇ ㄩˋ ㄗ˙	動漫	輝夜姬想讓人告白
伊佐木要	12	ㄧ ㄗㄨㄛˇ ㄇㄨˋ ㄧㄠˋ	動漫	來自風平浪靜的明日
伊佐那社	17	ㄧ ㄗㄨㄛˇ ㄋㄚˋ ㄕㄜˋ	動漫	K
伊原摩耶花	15	ㄧ ㄩㄢˊ ㄇㄛˊ ㄧㄝ ㄏㄨㄚ	動漫	冰菓
伊吹風子	11	ㄧ ㄔㄨㄟ ㄈㄥ ㄗ˙	動漫	CLANNAD
伊地知星歌	14	ㄧ ㄉㄧˋ ㄓ ㄒㄧㄥ ㄍㄜ	動漫	孤獨搖滾
伊地知虹夏	20	ㄧ ㄉㄧˋ ㄓ ㄏㄨㄥˊ ㄒㄧㄚˋ	動漫	孤獨搖滾
伊芙加登	23	ㄧ ㄈㄨˊ ㄐㄧㄚ ㄉㄥ	動漫	紫羅蘭永恆花園
伊莉娜	11	ㄧ ㄌㄧˋ ㄋㄚˋ	動漫	暗殺教室
伊莉莎白	17	ㄧ ㄌㄧˋ ㄕㄚ ㄅㄞˊ	動漫	黑執事
伊莉雅	19	ㄧ ㄌㄧˋ ㄧㄚˇ	動漫	Fate/stay night
伊莉雅珊瑚	13	ㄧ ㄌㄧˋ ㄧㄚˇ ㄕㄢ ㄏㄨˊ	動漫	轉生王女與天才千金的魔法革命
伊莎貝拉	15	ㄧ ㄕㄚ ㄅㄟˋ ㄌㄚ	動漫	約定的夢幻島
伊藤開司	20	ㄧ ㄊㄥˊ ㄎㄞ ㄙ	動漫	賭博默示錄
伊麗莎白	18	ㄧ ㄌㄧˋ ㄕㄚ ㄅㄞˊ	動漫	七大罪
伏見猿比古	9	ㄈㄨˊ ㄐㄧㄢˋ ㄩㄢˊ ㄅㄧˇ ㄍㄨˇ	動漫	K
伏黑惠	22	ㄈㄨˊ ㄏㄟ ㄏㄨㄟˋ	動漫	咒術迴戰
休安	17	ㄒㄧㄡ ㄢ	動漫	丹特麗安的書架
伯雷亞斯	15	ㄅㄛˊ ㄌㄟˊ ㄧㄚˇ ㄙ	動漫	無職轉生
佐佐原宗平	12	ㄗㄨㄛˇ ㄗㄨㄛˇ ㄩㄢˊ ㄗㄨㄥ ㄆㄧㄥˊ	動漫	鄰座的怪同學
佐佐木	12	ㄗㄨㄛˇ ㄗㄨㄛˇ ㄇㄨˋ	動漫	終末的女武神
佐倉千代	18	ㄗㄨㄛˇ ㄘㄤ ㄑㄧㄢ ㄉㄞˋ	動漫	月刊少女野崎同學
佐倉慈	11	ㄗㄨㄛˇ ㄘㄤ ㄘˊ	動漫	學園孤島
佐倉杏子	14	ㄗㄨㄛˇ ㄘㄤ ㄒㄧㄥˋ ㄗˇ	動漫	魔法少女小圓
佐切	16	ㄗㄨㄛˇ ㄑㄧㄝˋ	動漫	地獄樂
佐原美代子	13	ㄗㄨㄛˇ ㄩㄢˊ ㄇㄟˇ ㄉㄞˋ ㄗˇ	動漫	聲之形
佐古下柳	15	ㄗㄨㄛˇ ㄍㄨˇ ㄒㄧㄚˋ ㄌㄧㄡˇ	動漫	烈火之炎
佐天淚子	15	ㄗㄨㄛˇ ㄊㄧㄢ ㄌㄟˋ ㄗ˙	動漫	科學超電磁砲
佐田恭也	15	ㄗㄨㄛˇ ㄊㄧㄢˊ ㄍㄨㄥ ㄧㄝˇ	動漫	狼少女與黑王子
佐藤和真	23	ㄗㄨㄛˇ ㄊㄥˊ ㄏㄜˊ ㄓㄣ	動漫	為美好的世界獻上祝福
佐藤壽也	15	ㄗㄨㄛˇ ㄊㄥˊ ㄕㄡˋ ㄧㄝˇ	動漫	棒球大聯盟
佐藤正男	12	ㄗㄨㄛˇ ㄊㄥˊ ㄓㄥˋ ㄋㄢˊ	動漫	蠟筆小新
佐藤真冬	18	ㄗㄨㄛˇ ㄊㄥˊ ㄓㄣ ㄉㄨㄥ	動漫	Given被贈與的未來
佐賀	22	ㄗㄨㄛˇ ㄏㄜˋ	動漫	佐賀偶像是傳奇
佐野萬次郎	19	ㄗㄨㄛˇ ㄧㄝˇ ㄨㄢˋ ㄘˋ ㄌㄤˊ	動漫	東京復仇者
佛朗基	10	ㄈㄛˊ ㄌㄤˇ ㄐㄧ	動漫	航海王
佛爾帕斯塔	17	ㄈㄛˊ ㄦˇ ㄆㄚˋ ㄙ ㄊㄚˇ	動漫	FAIRY TAIL魔導少年
你已經死了	13	ㄋㄧˇ ㄧˇ ㄐㄧㄥ ㄙˇ ㄌㄜ˙	動漫	北斗神拳
你想	13	ㄋㄧˇ ㄒㄧㄤˇ	動漫	蒼鷺與少年
你的名字	28	ㄋㄧˇ ㄉㄜ˙ ㄇㄧㄥˊ ㄗˋ	動漫	你的名字
你的名字是	16	ㄋㄧˇ ㄉㄜ˙ ㄇㄧㄥˊ ㄗˋ ㄕˋ	動漫	你的名字
你的謊言	14	ㄋㄧˇ ㄉㄜ˙ ㄏㄨㄤˇ ㄧㄢˊ	動漫	四月是你的謊言
來堂	15	ㄌㄞˊ ㄊㄤˊ	動漫	阿波連同學深不可測
來自	21	ㄌㄞˊ ㄗˋ	動漫	來自風平浪靜的明日
來自深淵	22	ㄌㄞˊ ㄗˋ ㄕㄣ ㄩㄢ	動漫	來自深淵
侍奉社	13	ㄕˋ ㄈㄥˋ ㄕㄜˋ	動漫	果然我的青春戀愛喜劇搞錯了
侵略	22	ㄑㄧㄣ ㄌㄩㄝˋ	動漫	侵略！花枝娘
侵略地上	12	ㄑㄧㄣ ㄌㄩㄝˋ ㄉㄧˋ ㄕㄤˋ	動漫	侵略！花枝娘
侵略藍星	13	ㄑㄧㄣ ㄌㄩㄝˋ ㄌㄢˊ ㄒㄧㄥ	動漫	Keroro軍曹
俄語	21	ㄜˋ ㄩˇ	動漫	不時輕聲地以俄語遮羞的鄰座艾莉同學
保坂	11	ㄅㄠˇ ㄅㄢˇ	動漫	南家三姊妹
保登心愛	19	ㄅㄠˇ ㄉㄥ ㄒㄧㄣ ㄞˋ	動漫	請問您今天要來點兔子嗎？
保科宗四郎	12	ㄅㄠˇ ㄎㄜ ㄗㄨㄥ ㄙˋ ㄌㄤˊ	動漫	怪獸8號
保羅	13	ㄅㄠˇ ㄌㄨㄛˊ	動漫	無職轉生
保育室	11	ㄅㄠˇ ㄩˋ ㄕˋ	動漫	學園奶爸
修坦費爾德	15	ㄒㄧㄡ ㄊㄢˇ ㄈㄟˋ ㄦˇ ㄉㄜˊ	動漫	Code Geass反叛的魯路修
修塔爾克	18	ㄒㄧㄡ ㄊㄚˇ ㄦˇ ㄎㄜˋ	動漫	葬送的芙莉蓮
修女	78	ㄒㄧㄡ ㄋㄩˇ	動漫	荒川爆笑團
修羅	10	ㄒㄧㄡ ㄌㄨㄛˊ	動漫	異修羅
修雷因	10	ㄒㄧㄡ ㄌㄟˊ ㄧㄣ	動漫	轉生成蜘蛛又怎樣
俺物語!!	20	ㄢˇ ㄨˋ ㄩˇ !!	動漫	俺物語!!
倉嶋千百合	14	ㄘㄤ ㄉㄠˇ ㄑㄧㄢ ㄅㄞˇ ㄏㄜˊ	動漫	加速世界
倉持洋一	11	ㄘㄤ ㄔˊ ㄧㄤˊ ㄧ	動漫	鑽石王牌
借力	8	ㄐㄧㄝˋ ㄌㄧˋ	動漫	高校之神
借物	22	ㄐㄧㄝˋ ㄨˋ	動漫	借物少女艾莉緹
借物少女	21	ㄐㄧㄝˋ ㄨˋ ㄕㄠˋ ㄋㄩˇ	動漫	借物少女艾莉緹
偵探	21	ㄓㄣ ㄊㄢˋ	動漫	魔人偵探腦嚙涅羅
偶像	22	ㄡˇ ㄒㄧㄤˋ	動漫	佐賀偶像是傳奇
偶像大師	22	ㄡˇ ㄒㄧㄤˋ ㄉㄚˋ ㄕ	動漫	偶像大師
傑圖亞	13	ㄐㄧㄝˊ ㄊㄨˊ ㄧㄚˇ	動漫	幼女戰記
傑特布萊克	17	ㄐㄧㄝˊ ㄊㄜˋ ㄅㄨˋ ㄌㄞˊ ㄎㄜˋ	動漫	星際牛仔
傑瑞米亞	12	ㄐㄧㄝˊ ㄖㄨㄟˋ ㄇㄧˇ ㄧㄚˇ	動漫	Code Geass反叛的魯路修
傑諾斯	20	ㄐㄧㄝˊ ㄋㄨㄛˋ ㄙ	動漫	一拳超人
傳奇	22	ㄔㄨㄢˊ ㄑㄧˊ	動漫	佐賀偶像是傳奇
優娜	20	ㄧㄡ ㄋㄚˋ	動漫	晨曦公主
元氣	22	ㄩㄢˊ ㄑㄧˋ	動漫	元氣少女緣結神
元祿	20	ㄩㄢˊ ㄌㄨˋ	動漫	昭和元祿落語心中
先島光	18	ㄒㄧㄢ ㄉㄠˇ ㄍㄨㄤ	動漫	來自風平浪靜的明日
光秀	14	ㄍㄨㄤ ㄒㄧㄡˋ	動漫	赤髮白雪姬
克努特	15	ㄎㄜˋ ㄋㄨˇ ㄊㄜˋ	動漫	Vinland Saga海盜戰記
克勞迪亞	17	ㄎㄜˋ ㄌㄠˊ ㄉㄧˊ ㄧㄚˇ	動漫	紫羅蘭永恆花園
克彥	15	ㄎㄜˋ ㄧㄢˋ	動漫	你的名字
克拉	21	ㄎㄜˋ ㄌㄚ	動漫	狼與辛香料
克林	17	ㄎㄜˋ ㄌㄧㄣˊ	動漫	七龍珠
克洛伊	13	ㄎㄜˋ ㄌㄨㄛˋ ㄧ	動漫	Fate/kaleid liner魔法少女☆伊莉雅
克洛迪娜	12	ㄎㄜˋ ㄌㄨㄛˋ ㄉㄧˊ ㄋㄚˋ	動漫	少女歌劇Revue Starlight
