詞	詞頻	注音
一篇	3	ㄧ ㄆㄧㄢ
一本	3	ㄧ ㄅㄣˇ
一冊	3	ㄧ ㄘㄜˋ
一頁	3	ㄧ ㄧㄝˋ
一封	3	ㄧ ㄈㄥ
一則	3	ㄧ ㄗㄜˊ
一筆	3	ㄧ ㄅㄧˇ
一項	3	ㄧ ㄒㄧㄤˋ
一條	3	ㄧ ㄊㄧㄠˊ
一支	3	ㄧ ㄓ
一枝	3	ㄧ ㄓ
一把	3	ㄧ ㄅㄚˇ
一雙	3	ㄧ ㄕㄨㄤ
一對	3	ㄧ ㄉㄨㄟˋ
一套	3	ㄧ ㄊㄠˋ
一組	3	ㄧ ㄗㄨˇ
一批	3	ㄧ ㄆㄧ
一箱	3	ㄧ ㄒㄧㄤ
一包	3	ㄧ ㄅㄠ
一袋	3	ㄧ ㄉㄞˋ
一盒	3	ㄧ ㄏㄜˊ
一瓶	3	ㄧ ㄆㄧㄥˊ
一杯	3	ㄧ ㄅㄟ
一碗	3	ㄧ ㄨㄢˇ
一盤	3	ㄧ ㄆㄢˊ
一顆	3	ㄧ ㄎㄜ
一粒	3	ㄧ ㄌㄧˋ
一塊	3	ㄧ ㄎㄨㄞˋ
一根	3	ㄧ ㄍㄣ
一束	3	ㄧ ㄕㄨˋ
一位	3	ㄧ ㄨㄟˋ
一名	3	ㄧ ㄇㄧㄥˊ
一人	3	ㄧ ㄖㄣˊ
一戶	3	ㄧ ㄏㄨˋ
一家	3	ㄧ ㄐㄧㄚ
一間	3	ㄧ ㄐㄧㄢ
一隻	3	ㄧ ㄓ
一頭	3	ㄧ ㄊㄡˊ
一匹	3	ㄧ ㄆㄧˇ
一次	3	ㄧ ㄘˋ
一回	3	ㄧ ㄏㄨㄟˊ
一遍	3	ㄧ ㄅㄧㄢˋ
一場	3	ㄧ ㄔㄤˇ
一節	3	ㄧ ㄐㄧㄝˊ
一堂	3	ㄧ ㄊㄤˊ
一秒	3	ㄧ ㄇㄧㄠˇ
一分	3	ㄧ ㄈㄣ
一時	3	ㄧ ㄕˊ
一天	3	ㄧ ㄊㄧㄢ
一日	3	ㄧ ㄖˋ
一週	3	ㄧ ㄓㄡ
一月	3	ㄧ ㄩㄝˋ
一年	3	ㄧ ㄋㄧㄢˊ
一號	3	ㄧ ㄏㄠˋ
一樓	3	ㄧ ㄌㄡˊ
一室	3	ㄧ ㄕˋ
一巷	3	ㄧ ㄒㄧㄤˋ
一弄	3	ㄧ ㄋㄨㄥˋ
一段	3	ㄧ ㄉㄨㄢˋ
一元	3	ㄧ ㄩㄢˊ
一角	3	ㄧ ㄐㄧㄠˇ
一度	3	ㄧ ㄉㄨˋ
一坪	3	ㄧ ㄆㄧㄥˊ
一克	3	ㄧ ㄎㄜˋ
一噸	3	ㄧ ㄉㄨㄣˋ
一趟	3	ㄧ ㄊㄤˋ
一班	3	ㄧ ㄅㄢ
一站	3	ㄧ ㄓㄢˋ
一車	3	ㄧ ㄔㄜ
一座	3	ㄧ ㄗㄨㄛˋ
一艘	3	ㄧ ㄙㄠ
一架	3	ㄧ ㄐㄧㄚˋ
一分鐘	3	ㄧ ㄈㄣ ㄓㄨㄥ
一小時	3	ㄧ ㄒㄧㄠˇ ㄕˊ
一公斤	3	ㄧ ㄍㄨㄥ ㄐㄧㄣ
一公克	3	ㄧ ㄍㄨㄥ ㄎㄜˋ
一公里	3	ㄧ ㄍㄨㄥ ㄌㄧˇ
一公尺	3	ㄧ ㄍㄨㄥ ㄔˇ
一公分	3	ㄧ ㄍㄨㄥ ㄈㄣ
一毫米	3	ㄧ ㄏㄠˊ ㄇㄧˇ
一毫升	3	ㄧ ㄏㄠˊ ㄕㄥ
一公升	3	ㄧ ㄍㄨㄥ ㄕㄥ
一臺斤	3	ㄧ ㄊㄞˊ ㄐㄧㄣ
一平方公尺	3	ㄧ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄔˇ
一平方公里	3	ㄧ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄌㄧˇ
一十	3	ㄧ ㄕˊ
一百	3	ㄧ ㄅㄞˇ
一千	3	ㄧ ㄑㄧㄢ
一萬	3	ㄧ ㄨㄢˋ
一億	3	ㄧ ㄧˋ
二個	3	ㄦˋ ㄍㄜˋ
二件	3	ㄦˋ ㄐㄧㄢˋ
二份	3	ㄦˋ ㄈㄣˋ
二張	3	ㄦˋ ㄓㄤ
二片	18	ㄦˋ ㄆㄧㄢˋ
二篇	18	ㄦˋ ㄆㄧㄢ
二本	3	ㄦˋ ㄅㄣˇ
二冊	3	ㄦˋ ㄘㄜˋ
二頁	3	ㄦˋ ㄧㄝˋ
二封	3	ㄦˋ ㄈㄥ
二則	3	ㄦˋ ㄗㄜˊ
二筆	3	ㄦˋ ㄅㄧˇ
二項	3	ㄦˋ ㄒㄧㄤˋ
二條	3	ㄦˋ ㄊㄧㄠˊ
二支	3	ㄦˋ ㄓ
二枝	3	ㄦˋ ㄓ
二把	3	ㄦˋ ㄅㄚˇ
二雙	3	ㄦˋ ㄕㄨㄤ
二對	3	ㄦˋ ㄉㄨㄟˋ
二套	3	ㄦˋ ㄊㄠˋ
二組	3	ㄦˋ ㄗㄨˇ
二批	3	ㄦˋ ㄆㄧ
二箱	3	ㄦˋ ㄒㄧㄤ
二包	3	ㄦˋ ㄅㄠ
二袋	3	ㄦˋ ㄉㄞˋ
二盒	3	ㄦˋ ㄏㄜˊ
二瓶	3	ㄦˋ ㄆㄧㄥˊ
二杯	3	ㄦˋ ㄅㄟ
二碗	3	ㄦˋ ㄨㄢˇ
二盤	3	ㄦˋ ㄆㄢˊ
二顆	3	ㄦˋ ㄎㄜ
二粒	3	ㄦˋ ㄌㄧˋ
二塊	3	ㄦˋ ㄎㄨㄞˋ
二根	3	ㄦˋ ㄍㄣ
二束	3	ㄦˋ ㄕㄨˋ
二位	3	ㄦˋ ㄨㄟˋ
二名	3	ㄦˋ ㄇㄧㄥˊ
二人	3	ㄦˋ ㄖㄣˊ
二戶	3	ㄦˋ ㄏㄨˋ
二家	3	ㄦˋ ㄐㄧㄚ
二間	3	ㄦˋ ㄐㄧㄢ
二隻	3	ㄦˋ ㄓ
二頭	3	ㄦˋ ㄊㄡˊ
二匹	3	ㄦˋ ㄆㄧˇ
二次	3	ㄦˋ ㄘˋ
二回	3	ㄦˋ ㄏㄨㄟˊ
二遍	3	ㄦˋ ㄅㄧㄢˋ
二場	3	ㄦˋ ㄔㄤˇ
二節	3	ㄦˋ ㄐㄧㄝˊ
二堂	3	ㄦˋ ㄊㄤˊ
二秒	3	ㄦˋ ㄇㄧㄠˇ
二分	3	ㄦˋ ㄈㄣ
二時	3	ㄦˋ ㄕˊ
二天	3	ㄦˋ ㄊㄧㄢ
二日	3	ㄦˋ ㄖˋ
二週	3	ㄦˋ ㄓㄡ
二月	3	ㄦˋ ㄩㄝˋ
二年	3	ㄦˋ ㄋㄧㄢˊ
二號	3	ㄦˋ ㄏㄠˋ
二樓	3	ㄦˋ ㄌㄡˊ
二室	3	ㄦˋ ㄕˋ
二巷	3	ㄦˋ ㄒㄧㄤˋ
二弄	3	ㄦˋ ㄋㄨㄥˋ
二段	3	ㄦˋ ㄉㄨㄢˋ
二元	3	ㄦˋ ㄩㄢˊ
二角	3	ㄦˋ ㄐㄧㄠˇ
二度	3	ㄦˋ ㄉㄨˋ
二坪	3	ㄦˋ ㄆㄧㄥˊ
二克	3	ㄦˋ ㄎㄜˋ
二噸	3	ㄦˋ ㄉㄨㄣˋ
二趟	3	ㄦˋ ㄊㄤˋ
二班	3	ㄦˋ ㄅㄢ
二站	3	ㄦˋ ㄓㄢˋ
二車	3	ㄦˋ ㄔㄜ
二座	3	ㄦˋ ㄗㄨㄛˋ
二艘	3	ㄦˋ ㄙㄠ
二架	3	ㄦˋ ㄐㄧㄚˋ
二分鐘	3	ㄦˋ ㄈㄣ ㄓㄨㄥ
二小時	3	ㄦˋ ㄒㄧㄠˇ ㄕˊ
二公斤	3	ㄦˋ ㄍㄨㄥ ㄐㄧㄣ
二公克	3	ㄦˋ ㄍㄨㄥ ㄎㄜˋ
二公里	3	ㄦˋ ㄍㄨㄥ ㄌㄧˇ
二公尺	3	ㄦˋ ㄍㄨㄥ ㄔˇ
二公分	3	ㄦˋ ㄍㄨㄥ ㄈㄣ
二毫米	3	ㄦˋ ㄏㄠˊ ㄇㄧˇ
二毫升	3	ㄦˋ ㄏㄠˊ ㄕㄥ
二公升	3	ㄦˋ ㄍㄨㄥ ㄕㄥ
二臺斤	3	ㄦˋ ㄊㄞˊ ㄐㄧㄣ
二平方公尺	3	ㄦˋ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄔˇ
二平方公里	3	ㄦˋ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄌㄧˇ
二十	3	ㄦˋ ㄕˊ
二百	3	ㄦˋ ㄅㄞˇ
二千	3	ㄦˋ ㄑㄧㄢ
二萬	3	ㄦˋ ㄨㄢˋ
二億	3	ㄦˋ ㄧˋ
兩個	3	ㄌㄧㄤˇ ㄍㄜˋ
兩件	3	ㄌㄧㄤˇ ㄐㄧㄢˋ
兩份	3	ㄌㄧㄤˇ ㄈㄣˋ
兩張	3	ㄌㄧㄤˇ ㄓㄤ
兩片	80	ㄌㄧㄤˇ ㄆㄧㄢˋ
兩篇	80	ㄌㄧㄤˇ ㄆㄧㄢ
兩本	3	ㄌㄧㄤˇ ㄅㄣˇ
兩冊	3	ㄌㄧㄤˇ ㄘㄜˋ
兩頁	3	ㄌㄧㄤˇ ㄧㄝˋ
兩封	3	ㄌㄧㄤˇ ㄈㄥ
兩則	3	ㄌㄧㄤˇ ㄗㄜˊ
兩筆	3	ㄌㄧㄤˇ ㄅㄧˇ
兩項	3	ㄌㄧㄤˇ ㄒㄧㄤˋ
兩條	3	ㄌㄧㄤˇ ㄊㄧㄠˊ
兩支	3	ㄌㄧㄤˇ ㄓ
兩枝	3	ㄌㄧㄤˇ ㄓ
兩把	3	ㄌㄧㄤˇ ㄅㄚˇ
兩雙	3	ㄌㄧㄤˇ ㄕㄨㄤ
兩對	3	ㄌㄧㄤˇ ㄉㄨㄟˋ
兩套	3	ㄌㄧㄤˇ ㄊㄠˋ
兩組	3	ㄌㄧㄤˇ ㄗㄨˇ
兩批	3	ㄌㄧㄤˇ ㄆㄧ
兩箱	3	ㄌㄧㄤˇ ㄒㄧㄤ
兩包	3	ㄌㄧㄤˇ ㄅㄠ
兩袋	3	ㄌㄧㄤˇ ㄉㄞˋ
兩盒	3	ㄌㄧㄤˇ ㄏㄜˊ
兩瓶	3	ㄌㄧㄤˇ ㄆㄧㄥˊ
兩杯	3	ㄌㄧㄤˇ ㄅㄟ
兩碗	3	ㄌㄧㄤˇ ㄨㄢˇ
兩盤	3	ㄌㄧㄤˇ ㄆㄢˊ
兩顆	3	ㄌㄧㄤˇ ㄎㄜ
兩粒	3	ㄌㄧㄤˇ ㄌㄧˋ
兩塊	3	ㄌㄧㄤˇ ㄎㄨㄞˋ
兩根	3	ㄌㄧㄤˇ ㄍㄣ
兩束	3	ㄌㄧㄤˇ ㄕㄨˋ
兩位	3	ㄌㄧㄤˇ ㄨㄟˋ
兩名	3	ㄌㄧㄤˇ ㄇㄧㄥˊ
兩人	3	ㄌㄧㄤˇ ㄖㄣˊ
兩戶	3	ㄌㄧㄤˇ ㄏㄨˋ
兩家	3	ㄌㄧㄤˇ ㄐㄧㄚ
兩間	3	ㄌㄧㄤˇ ㄐㄧㄢ
兩隻	3	ㄌㄧㄤˇ ㄓ
兩頭	3	ㄌㄧㄤˇ ㄊㄡˊ
兩匹	3	ㄌㄧㄤˇ ㄆㄧˇ
兩次	3	ㄌㄧㄤˇ ㄘˋ
兩回	3	ㄌㄧㄤˇ ㄏㄨㄟˊ
兩遍	3	ㄌㄧㄤˇ ㄅㄧㄢˋ
兩場	3	ㄌㄧㄤˇ ㄔㄤˇ
兩節	3	ㄌㄧㄤˇ ㄐㄧㄝˊ
兩堂	3	ㄌㄧㄤˇ ㄊㄤˊ
兩秒	3	ㄌㄧㄤˇ ㄇㄧㄠˇ
兩分	3	ㄌㄧㄤˇ ㄈㄣ
兩時	3	ㄌㄧㄤˇ ㄕˊ
兩天	3	ㄌㄧㄤˇ ㄊㄧㄢ
兩日	3	ㄌㄧㄤˇ ㄖˋ
兩週	3	ㄌㄧㄤˇ ㄓㄡ
兩月	3	ㄌㄧㄤˇ ㄩㄝˋ
兩年	3	ㄌㄧㄤˇ ㄋㄧㄢˊ
兩號	3	ㄌㄧㄤˇ ㄏㄠˋ
兩樓	3	ㄌㄧㄤˇ ㄌㄡˊ
兩室	3	ㄌㄧㄤˇ ㄕˋ
兩巷	3	ㄌㄧㄤˇ ㄒㄧㄤˋ
兩弄	3	ㄌㄧㄤˇ ㄋㄨㄥˋ
兩段	3	ㄌㄧㄤˇ ㄉㄨㄢˋ
兩元	3	ㄌㄧㄤˇ ㄩㄢˊ
兩角	3	ㄌㄧㄤˇ ㄐㄧㄠˇ
兩度	3	ㄌㄧㄤˇ ㄉㄨˋ
兩坪	3	ㄌㄧㄤˇ ㄆㄧㄥˊ
兩克	3	ㄌㄧㄤˇ ㄎㄜˋ
兩噸	3	ㄌㄧㄤˇ ㄉㄨㄣˋ
兩趟	3	ㄌㄧㄤˇ ㄊㄤˋ
兩班	3	ㄌㄧㄤˇ ㄅㄢ
兩站	3	ㄌㄧㄤˇ ㄓㄢˋ
兩車	3	ㄌㄧㄤˇ ㄔㄜ
兩座	3	ㄌㄧㄤˇ ㄗㄨㄛˋ
兩艘	3	ㄌㄧㄤˇ ㄙㄠ
兩架	3	ㄌㄧㄤˇ ㄐㄧㄚˋ
兩分鐘	3	ㄌㄧㄤˇ ㄈㄣ ㄓㄨㄥ
兩小時	3	ㄌㄧㄤˇ ㄒㄧㄠˇ ㄕˊ
兩公斤	3	ㄌㄧㄤˇ ㄍㄨㄥ ㄐㄧㄣ
兩公克	3	ㄌㄧㄤˇ ㄍㄨㄥ ㄎㄜˋ
兩公里	3	ㄌㄧㄤˇ ㄍㄨㄥ ㄌㄧˇ
兩公尺	3	ㄌㄧㄤˇ ㄍㄨㄥ ㄔˇ
兩公分	3	ㄌㄧㄤˇ ㄍㄨㄥ ㄈㄣ
兩毫米	3	ㄌㄧㄤˇ ㄏㄠˊ ㄇㄧˇ
兩毫升	3	ㄌㄧㄤˇ ㄏㄠˊ ㄕㄥ
兩公升	3	ㄌㄧㄤˇ ㄍㄨㄥ ㄕㄥ
兩臺斤	3	ㄌㄧㄤˇ ㄊㄞˊ ㄐㄧㄣ
兩平方公尺	3	ㄌㄧㄤˇ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄔˇ
兩平方公里	3	ㄌㄧㄤˇ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄌㄧˇ
兩十	3	ㄌㄧㄤˇ ㄕˊ
兩百	3	ㄌㄧㄤˇ ㄅㄞˇ
兩千	3	ㄌㄧㄤˇ ㄑㄧㄢ
兩萬	3	ㄌㄧㄤˇ ㄨㄢˋ
兩億	3	ㄌㄧㄤˇ ㄧˋ
三個	3	ㄙㄢ ㄍㄜˋ
三件	3	ㄙㄢ ㄐㄧㄢˋ
三份	3	ㄙㄢ ㄈㄣˋ
三張	3	ㄙㄢ ㄓㄤ
三片	3	ㄙㄢ ㄆㄧㄢˋ
三篇	3	ㄙㄢ ㄆㄧㄢ
三本	3	ㄙㄢ ㄅㄣˇ
三冊	3	ㄙㄢ ㄘㄜˋ
三頁	3	ㄙㄢ ㄧㄝˋ
三封	3	ㄙㄢ ㄈㄥ
三則	3	ㄙㄢ ㄗㄜˊ
三筆	3	ㄙㄢ ㄅㄧˇ
三項	3	ㄙㄢ ㄒㄧㄤˋ
三條	3	ㄙㄢ ㄊㄧㄠˊ
三支	3	ㄙㄢ ㄓ
三枝	3	ㄙㄢ ㄓ
三把	3	ㄙㄢ ㄅㄚˇ
三雙	3	ㄙㄢ ㄕㄨㄤ
三對	3	ㄙㄢ ㄉㄨㄟˋ
三套	3	ㄙㄢ ㄊㄠˋ
三組	3	ㄙㄢ ㄗㄨˇ
三批	3	ㄙㄢ ㄆㄧ
三箱	3	ㄙㄢ ㄒㄧㄤ
三包	3	ㄙㄢ ㄅㄠ
三袋	3	ㄙㄢ ㄉㄞˋ
三盒	3	ㄙㄢ ㄏㄜˊ
三瓶	3	ㄙㄢ ㄆㄧㄥˊ
三杯	3	ㄙㄢ ㄅㄟ
三碗	3	ㄙㄢ ㄨㄢˇ
三盤	3	ㄙㄢ ㄆㄢˊ
三顆	3	ㄙㄢ ㄎㄜ
三粒	3	ㄙㄢ ㄌㄧˋ
三塊	3	ㄙㄢ ㄎㄨㄞˋ
三根	3	ㄙㄢ ㄍㄣ
三束	3	ㄙㄢ ㄕㄨˋ
三位	3	ㄙㄢ ㄨㄟˋ
三名	3	ㄙㄢ ㄇㄧㄥˊ
三人	3	ㄙㄢ ㄖㄣˊ
三戶	3	ㄙㄢ ㄏㄨˋ
三家	3	ㄙㄢ ㄐㄧㄚ
三間	3	ㄙㄢ ㄐㄧㄢ
三隻	3	ㄙㄢ ㄓ
三頭	3	ㄙㄢ ㄊㄡˊ
三匹	3	ㄙㄢ ㄆㄧˇ
三次	3	ㄙㄢ ㄘˋ
三回	3	ㄙㄢ ㄏㄨㄟˊ
三遍	3	ㄙㄢ ㄅㄧㄢˋ
三場	3	ㄙㄢ ㄔㄤˇ
三節	3	ㄙㄢ ㄐㄧㄝˊ
三堂	3	ㄙㄢ ㄊㄤˊ
三秒	3	ㄙㄢ ㄇㄧㄠˇ
三分	3	ㄙㄢ ㄈㄣ
三時	3	ㄙㄢ ㄕˊ
三天	3	ㄙㄢ ㄊㄧㄢ
三日	3	ㄙㄢ ㄖˋ
三週	3	ㄙㄢ ㄓㄡ
三月	3	ㄙㄢ ㄩㄝˋ
三年	3	ㄙㄢ ㄋㄧㄢˊ
三號	3	ㄙㄢ ㄏㄠˋ
三樓	3	ㄙㄢ ㄌㄡˊ
三室	3	ㄙㄢ ㄕˋ
三巷	3	ㄙㄢ ㄒㄧㄤˋ
三弄	3	ㄙㄢ ㄋㄨㄥˋ
三段	3	ㄙㄢ ㄉㄨㄢˋ
三元	3	ㄙㄢ ㄩㄢˊ
三角	3	ㄙㄢ ㄐㄧㄠˇ
三度	3	ㄙㄢ ㄉㄨˋ
三坪	3	ㄙㄢ ㄆㄧㄥˊ
三克	3	ㄙㄢ ㄎㄜˋ
三噸	3	ㄙㄢ ㄉㄨㄣˋ
三趟	3	ㄙㄢ ㄊㄤˋ
三班	3	ㄙㄢ ㄅㄢ
三站	3	ㄙㄢ ㄓㄢˋ
三車	3	ㄙㄢ ㄔㄜ
三座	3	ㄙㄢ ㄗㄨㄛˋ
三艘	3	ㄙㄢ ㄙㄠ
三架	3	ㄙㄢ ㄐㄧㄚˋ
三分鐘	3	ㄙㄢ ㄈㄣ ㄓㄨㄥ
三小時	3	ㄙㄢ ㄒㄧㄠˇ ㄕˊ
三公斤	3	ㄙㄢ ㄍㄨㄥ ㄐㄧㄣ
三公克	3	ㄙㄢ ㄍㄨㄥ ㄎㄜˋ
三公里	3	ㄙㄢ ㄍㄨㄥ ㄌㄧˇ
三公尺	3	ㄙㄢ ㄍㄨㄥ ㄔˇ
三公分	3	ㄙㄢ ㄍㄨㄥ ㄈㄣ
三毫米	3	ㄙㄢ ㄏㄠˊ ㄇㄧˇ
三毫升	3	ㄙㄢ ㄏㄠˊ ㄕㄥ
三公升	3	ㄙㄢ ㄍㄨㄥ ㄕㄥ
三臺斤	3	ㄙㄢ ㄊㄞˊ ㄐㄧㄣ
三平方公尺	3	ㄙㄢ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄔˇ
三平方公里	3	ㄙㄢ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄌㄧˇ
三十	3	ㄙㄢ ㄕˊ
三百	3	ㄙㄢ ㄅㄞˇ
三千	3	ㄙㄢ ㄑㄧㄢ
三萬	3	ㄙㄢ ㄨㄢˋ
三億	3	ㄙㄢ ㄧˋ
四個	3	ㄙˋ ㄍㄜˋ
四件	3	ㄙˋ ㄐㄧㄢˋ
四份	3	ㄙˋ ㄈㄣˋ
四張	3	ㄙˋ ㄓㄤ
四片	3	ㄙˋ ㄆㄧㄢˋ
四篇	3	ㄙˋ ㄆㄧㄢ
四本	3	ㄙˋ ㄅㄣˇ
四冊	3	ㄙˋ ㄘㄜˋ
四頁	3	ㄙˋ ㄧㄝˋ
四封	3	ㄙˋ ㄈㄥ
四則	3	ㄙˋ ㄗㄜˊ
四筆	3	ㄙˋ ㄅㄧˇ
四項	3	ㄙˋ ㄒㄧㄤˋ
四條	3	ㄙˋ ㄊㄧㄠˊ
四支	3	ㄙˋ ㄓ
四枝	3	ㄙˋ ㄓ
四把	3	ㄙˋ ㄅㄚˇ
四雙	3	ㄙˋ ㄕㄨㄤ
四對	3	ㄙˋ ㄉㄨㄟˋ
四套	3	ㄙˋ ㄊㄠˋ
四組	3	ㄙˋ ㄗㄨˇ
四批	3	ㄙˋ ㄆㄧ
四箱	3	ㄙˋ ㄒㄧㄤ
四包	3	ㄙˋ ㄅㄠ
四袋	3	ㄙˋ ㄉㄞˋ
四盒	3	ㄙˋ ㄏㄜˊ
四瓶	3	ㄙˋ ㄆㄧㄥˊ
四杯	3	ㄙˋ ㄅㄟ
四碗	3	ㄙˋ ㄨㄢˇ
四盤	3	ㄙˋ ㄆㄢˊ
四顆	3	ㄙˋ ㄎㄜ
四粒	3	ㄙˋ ㄌㄧˋ
四塊	3	ㄙˋ ㄎㄨㄞˋ
四根	3	ㄙˋ ㄍㄣ
四束	3	ㄙˋ ㄕㄨˋ
四位	3	ㄙˋ ㄨㄟˋ
四名	3	ㄙˋ ㄇㄧㄥˊ
四人	3	ㄙˋ ㄖㄣˊ
四戶	3	ㄙˋ ㄏㄨˋ
四家	3	ㄙˋ ㄐㄧㄚ
四間	3	ㄙˋ ㄐㄧㄢ
四隻	3	ㄙˋ ㄓ
四頭	3	ㄙˋ ㄊㄡˊ
四匹	3	ㄙˋ ㄆㄧˇ
四次	3	ㄙˋ ㄘˋ
四回	3	ㄙˋ ㄏㄨㄟˊ
四遍	3	ㄙˋ ㄅㄧㄢˋ
四場	3	ㄙˋ ㄔㄤˇ
四節	3	ㄙˋ ㄐㄧㄝˊ
四堂	3	ㄙˋ ㄊㄤˊ
四秒	3	ㄙˋ ㄇㄧㄠˇ
四分	3	ㄙˋ ㄈㄣ
四時	3	ㄙˋ ㄕˊ
四天	3	ㄙˋ ㄊㄧㄢ
四日	3	ㄙˋ ㄖˋ
四週	3	ㄙˋ ㄓㄡ
四月	3	ㄙˋ ㄩㄝˋ
四年	3	ㄙˋ ㄋㄧㄢˊ
四號	3	ㄙˋ ㄏㄠˋ
四樓	3	ㄙˋ ㄌㄡˊ
四室	3	ㄙˋ ㄕˋ
四巷	3	ㄙˋ ㄒㄧㄤˋ
四弄	3	ㄙˋ ㄋㄨㄥˋ
四段	3	ㄙˋ ㄉㄨㄢˋ
四元	3	ㄙˋ ㄩㄢˊ
四角	3	ㄙˋ ㄐㄧㄠˇ
四度	3	ㄙˋ ㄉㄨˋ
四坪	3	ㄙˋ ㄆㄧㄥˊ
四克	3	ㄙˋ ㄎㄜˋ
四噸	3	ㄙˋ ㄉㄨㄣˋ
四趟	3	ㄙˋ ㄊㄤˋ
四班	3	ㄙˋ ㄅㄢ
四站	3	ㄙˋ ㄓㄢˋ
四車	3	ㄙˋ ㄔㄜ
四座	3	ㄙˋ ㄗㄨㄛˋ
四艘	3	ㄙˋ ㄙㄠ
四架	3	ㄙˋ ㄐㄧㄚˋ
四分鐘	3	ㄙˋ ㄈㄣ ㄓㄨㄥ
四小時	3	ㄙˋ ㄒㄧㄠˇ ㄕˊ
四公斤	3	ㄙˋ ㄍㄨㄥ ㄐㄧㄣ
四公克	3	ㄙˋ ㄍㄨㄥ ㄎㄜˋ
四公里	3	ㄙˋ ㄍㄨㄥ ㄌㄧˇ
四公尺	3	ㄙˋ ㄍㄨㄥ ㄔˇ
四公分	3	ㄙˋ ㄍㄨㄥ ㄈㄣ
四毫米	3	ㄙˋ ㄏㄠˊ ㄇㄧˇ
四毫升	3	ㄙˋ ㄏㄠˊ ㄕㄥ
四公升	3	ㄙˋ ㄍㄨㄥ ㄕㄥ
四臺斤	3	ㄙˋ ㄊㄞˊ ㄐㄧㄣ
四平方公尺	3	ㄙˋ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄔˇ
四平方公里	3	ㄙˋ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄌㄧˇ
四十	3	ㄙˋ ㄕˊ
四百	3	ㄙˋ ㄅㄞˇ
四千	3	ㄙˋ ㄑㄧㄢ
四萬	3	ㄙˋ ㄨㄢˋ
四億	3	ㄙˋ ㄧˋ
